panoid	pixel_error	gt_flow_u_min	gt_flow_v_min	gt_flow_u_mean	gt_flow_v_mean	gt_flow_mag_min	gt_flow_mag_max	gt_flow_mag_mean
9950	3.363958	1.5515834e-06	3.349036e-06	9.435209	9.786337	0.004092012	60.465546	14.972472
25136	3.1708264	2.3178756e-05	2.6121736e-05	14.559719	16.330427	0.012511007	72.03923	24.094982
39132	2.9386373	4.833564e-07	2.1129847e-05	17.441877	17.996498	0.0071585705	78.21877	27.18907
14681	1.2253693	4.085712e-06	7.2196126e-06	4.4540377	4.244158	0.0071812705	16.509764	6.704702
3057	2.6720538	4.865229e-06	1.527369e-07	2.4422321	3.4817526	0.003292055	20.729485	4.7457676
22646	1.5971885	9.573996e-07	5.2824616e-06	2.5497296	3.1270857	0.26213756	9.252788	4.2800717
14950	2.240134	4.0661544e-06	2.1606684e-07	4.9225655	4.1058807	0.002819537	19.76546	6.943979
81643	4.3534465	1.7331913e-06	1.399219e-05	10.311431	8.855118	0.011630651	48.40723	14.873447
33626	3.840051	5.1371753e-06	5.1021576e-05	23.710983	25.69273	0.035206463	91.50131	39.279446
46844	1.378438	5.355105e-07	5.1110983e-06	3.3162048	3.8637521	0.002237383	14.301647	5.540867
17567	1.6086047	3.0696392e-06	7.811934e-06	2.885954	3.0133083	0.0038213504	18.496798	4.500227
184	3.1590822	1.1328608e-05	3.4607947e-06	6.8726816	3.522524	0.0084848	15.766787	8.051185
90528	3.4604466	1.180917e-06	2.1968037e-05	6.673528	6.009445	0.0028403313	36.667095	9.729939
35650	2.6022434	1.5748665e-06	2.3841858e-07	2.5788524	3.63633	0.0032071504	12.220741	5.067973
41478	12.946812	1.2058765e-05	2.6531518e-05	16.37734	18.714628	0.007836006	87.05116	26.967497
17135	4.4786797	3.181398e-05	1.462549e-05	13.466885	13.974525	0.017583858	72.369316	21.721704
8506	4.7264304	7.5764954e-05	0.000104460865	48.725147	49.3347	0.062197536	156.9592	79.03147
15892	1.1998984	1.5896745e-05	1.9744039e-07	7.24687	6.807412	0.00675164	34.514103	10.7309265
22902	1.5790677	9.519048e-06	1.1395663e-05	3.9471126	4.391607	0.004051609	16.050919	6.462789
7786	1.8326095	2.8861687e-06	3.2782555e-07	4.509924	4.8258343	0.0041961395	34.63605	7.2882447
29252	2.9052114	1.3045967e-05	1.2412667e-05	9.96739	10.35951	0.0068681003	48.42272	16.181974
24612	4.223276	1.761876e-05	1.0095537e-06	11.085481	10.711815	0.015610756	55.902805	17.2683
16752	2.128993	4.0112063e-06	0.00015566126	19.928043	20.256712	0.007524627	65.79923	30.575674
15812	118.28494	3.9516017e-06	1.3902783e-05	7.6517763	8.623154	0.015075539	30.864061	12.481794
21546	3.6144414	3.4403056e-06	1.7687678e-05	6.2054486	6.2082825	0.0043071397	42.73552	9.509685
33210	2.4242792	6.4130872e-06	8.817762e-06	4.7245274	5.389241	0.0014840901	30.634102	7.889059
14591	1.9816924	8.903444e-07	8.2701445e-07	6.316319	5.5283093	0.0048748846	18.239494	9.395808
18354	4.18696	6.1821193e-06	0.00010162592	22.95805	21.287436	0.021411525	102.030914	33.77554
16462	1.7636907	7.875264e-06	5.055219e-05	14.298176	14.215514	0.028631028	46.063156	21.8503
35610	2.4191186	3.0901283e-06	1.5646219e-07	19.810623	19.485546	0.029343434	69.68321	30.067503
29304	3.3788662	0.00011521578	3.2782555e-07	28.935888	28.516933	0.04417841	93.14833	44.56149
18134	4.3164415	7.9525635e-06	1.0572374e-05	17.834124	17.413708	0.012125681	108.13444	26.814842
51822	2.36061	3.5734847e-06	2.5890768e-06	1.9074466	1.9637431	0.0021072372	11.488208	3.0755987
39036	1.0982411	5.858019e-06	1.6987324e-06	5.605545	5.5085106	0.011619888	25.640451	8.892627
23036	1.7357	1.2312084e-06	1.2889504e-06	3.0073714	2.4871063	0.0012743975	15.334593	4.234036
9499	1.7617948	4.6202913e-06	1.0356307e-05	6.9208922	6.0987964	0.0068152	21.334238	10.061623
70241	4.149064	1.8849969e-06	1.8823892e-05	6.246032	5.651368	0.006501659	29.275385	9.26311
43678	2.6423528	3.7197024e-06	7.2792172e-06	3.1342502	3.8226492	0.00199911	16.04009	5.4109306
54398	6.1750107	3.7662685e-06	6.7055225e-08	11.937142	10.636488	0.009871843	77.0396	17.13079
50296	2.8233123	4.382804e-06	9.6820295e-06	3.0169036	2.7535927	0.004370747	26.011515	4.4287834
10966	8.162341	2.7939677e-09	3.9860606e-06	6.4580193	5.804504	0.0031081273	27.575369	9.334647
18408	2.8855999	2.061762e-05	4.3213367e-06	20.062307	21.647287	0.018717565	110.10145	31.968416
37850	3.2777736	5.0118193e-05	8.549541e-05	24.311878	23.647549	0.025047172	85.85985	36.65314
7791	4.0915165	4.007481e-06	1.69985e-05	9.656157	11.065984	0.010650316	97.95642	16.048801
33324	4.7515035	1.5031546e-06	7.1167946e-05	11.775098	13.868265	0.030867811	50.299973	19.88296
9056	1.7622457	3.7718564e-07	3.40119e-06	13.811212	8.178774	0.013256307	42.841637	17.83697
13606	1.4280066	4.2747706e-07	1.2394041e-05	12.373182	11.940059	0.023953427	38.303658	18.671898
2841	6.189916	1.7028302e-05	6.5442175e-05	35.71841	38.30244	0.08490415	117.547585	57.22746
46674	5.4179044	1.1585653e-06	2.3022294e-06	6.8073163	8.3597145	0.006143459	53.31246	11.958475
32746	7.9431787	5.9381127e-05	2.8051436e-06	25.336462	15.747351	0.015806261	107.10442	31.579336
3382	2.0621772	1.4994293e-06	1.5199184e-06	3.1480057	2.9161692	0.0013177166	20.729168	4.609219
16378	2.830095	6.7166984e-06	2.8871e-06	5.342904	3.2682405	0.0013170381	27.835064	6.8966002
14910	2.6964788	7.0063397e-06	1.5497208e-06	8.512229	4.9075165	0.0076672174	38.780228	10.826382
65315	1.6044039	1.816079e-06	7.312745e-06	1.4698491	1.3366648	0.0029405728	6.2903895	2.1360452
32201	3.4965508	2.1588057e-06	3.4496188e-06	4.6987453	5.6164546	0.0021926546	24.14073	7.8607397
13450	2.4765859	3.2009557e-06	1.039356e-06	2.4419167	1.7586161	0.000318735	12.974299	3.1573808
65223	3.354052	7.851049e-06	8.3073974e-07	5.4923153	6.378489	0.006813233	23.836267	9.232573
18154	1.3106358	1.9634143e-05	5.7965517e-06	17.17571	16.928774	0.023227723	51.290344	26.20886
32998	3.253129	1.1278316e-05	2.9798597e-05	14.544234	15.160699	0.0042190733	51.705757	23.570084
8475	3.423695	8.1765465e-05	5.8971345e-06	8.474796	8.026016	0.02027323	29.30337	12.852551
27773	6.9739666	1.790654e-05	5.211681e-05	19.09895	25.521889	0.041710492	92.93667	34.57444
11688	1.4726689	1.7089769e-06	6.262213e-06	6.413743	7.4483423	0.005438324	33.909046	10.87543
37676	4.1530333	8.070841e-06	4.656613e-07	8.008032	8.839735	0.008745611	27.25117	13.43711
85247	3.9659503	5.4575503e-07	4.1350722e-07	3.106954	5.2362695	0.003981324	29.534763	6.453791
12736	3.4973326	1.0655262e-05	7.0519745e-06	16.407856	13.859406	0.029057046	69.02056	23.433699
64659	1.7905351	7.0035458e-06	1.0002404e-05	4.5641794	4.729267	0.0036247298	18.077148	7.106073
15918	2.2848327	1.6922131e-06	2.0559877e-05	8.1537895	9.745534	0.011583136	39.789474	13.656744
29285	2.000148	6.109476e-07	9.3877316e-07	5.322236	5.397545	0.002880723	22.179712	8.579913
24190	1.4382592	6.4540654e-06	7.484108e-06	5.5278654	6.9609594	0.010108443	42.931435	9.421996
13222	2.5031116	1.8980354e-06	1.0751188e-05	12.641413	13.538553	0.016213726	45.61596	20.069294
73234	3.5122564	1.3574958e-05	5.5246055e-06	6.8716636	6.9975014	0.0090948995	28.469519	10.749794
9697	2.4581742	9.930693e-06	8.862466e-06	11.145517	12.2797165	0.0075155986	36.613033	18.197914
23902	2.5748663	1.0389835e-05	8.85129e-06	3.6351197	4.4588127	0.0021656347	21.01201	6.07758
3192	1.15602	3.1851232e-07	5.044043e-06	2.2457855	2.710657	0.002180464	13.123655	3.9041734
29615	4.947297	2.6077032e-07	3.3527613e-08	9.606952	5.8338633	0.002225406	63.162193	11.943635
70087	3.5934286	1.1250377e-06	2.0936131e-06	1.7716466	2.5199223	0.00032692176	14.935071	3.2795675
47962	3.200972	3.6600977e-07	1.8369406e-05	10.628425	11.329267	0.002384299	74.23771	17.191734
13800	3.57894	4.3269247e-05	8.0652535e-06	15.447273	5.33197	0.0078238165	54.352463	16.7648
17782	1.0646652	9.395182e-06	4.723668e-06	2.823046	2.280335	0.0047989106	10.952866	3.9168987
11424	3.2624257	2.7806498e-05	2.4598092e-05	14.546169	20.312138	0.029427473	52.540157	27.39419
16314	3.7492824	2.9783696e-06	6.03497e-07	8.157481	8.2531805	0.021098925	38.44929	12.753911
14502	4.688687	5.991198e-06	3.9041042e-06	4.297055	6.396164	0.0007524726	28.015833	8.351198
11442	2.365235	2.3261644e-05	4.7162175e-06	2.8400652	1.9321221	0.00071294094	11.021114	3.5851972
813	6.5147305	1.5443191e-05	8.515641e-05	19.079927	17.873459	0.026549831	80.15597	28.23174
9663	1.7446489	5.0431117e-06	1.2911856e-05	8.87227	9.387779	0.010923156	38.23621	14.084206
18524	2.9831867	2.5331974e-06	2.3283064e-06	16.654045	16.001225	0.034263324	62.10684	25.01526
1207	1.5692592	1.0996126e-05	1.6000122e-05	16.246128	14.348235	0.021541523	71.292854	24.22967
3641	2.3417435	7.4505806e-07	1.097098e-05	9.9522915	9.322034	0.018222706	41.027485	15.288919
73425	4.0618615	1.7760321e-06	1.1995435e-06	9.413609	5.9233212	0.008385031	41.617172	12.0462055
